rank,route,template,title,family,score,strategic_30,brand_20,acquisition_20,authority_15,utility_15,action,why,source
"95","/research/decoded/alphazero","/research/decoded/alphazero","AlphaZero — One Algorithm Learns Chess, Shogi, and Go From Scratch in Hours · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/alphazero/page.tsx"
"96","/research/decoded/attention-is-all-you-need","/research/decoded/attention-is-all-you-need","Attention Is All You Need · decoded · /research/decoded/attention-is-all-you-need · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/attention-is-all-you-need/page.tsx"
"97","/research/decoded/bert","/research/decoded/bert","BERT — the language model that reads both directions at once · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/bert/page.tsx"
"98","/research/decoded/chain-of-thought","/research/decoded/chain-of-thought","Chain-of-Thought Prompting · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/chain-of-thought/page.tsx"
"99","/research/decoded/compound-interest-saving","/research/decoded/compound-interest-saving","The 4% Rule, Decoded — What Trinity Actually Said About Retiring Without Going Broke · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/compound-interest-saving/page.tsx"
"100","/research/decoded/constitutional-ai","/research/decoded/constitutional-ai","Constitutional AI · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/constitutional-ai/page.tsx"
"101","/research/decoded/dpo","/research/decoded/dpo","Direct Preference Optimization (DPO): Skipping the Reward Model in Alignment · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/dpo/page.tsx"
"102","/research/decoded/exercise-mortality","/research/decoded/exercise-mortality","Five Minutes a Day Buys You Three Extra Years (And Why the Gym Industry Will Never Say It Out Loud) · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/exercise-mortality/page.tsx"
"103","/research/decoded/fasting-autophagy","/research/decoded/fasting-autophagy","What Fasting Actually Does to Your Cells (Ohsumi","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/fasting-autophagy/page.tsx"
"104","/research/decoded/gans","/research/decoded/gans","Generative Adversarial Networks · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/gans/page.tsx"
"105","/research/decoded/gpt-3","/research/decoded/gpt-3","Language Models are Few-Shot Learners (GPT-3) · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/gpt-3/page.tsx"
"106","/research/decoded/latent-diffusion","/research/decoded/latent-diffusion","Latent Diffusion · decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/latent-diffusion/page.tsx"
"107","/research/decoded/mamba","/research/decoded/mamba","Mamba — Linear-Time Sequence Modeling with Selective State Spaces · Research / Decoded · AtomEons","research","76","16","15","19","15","11","IMPROVE","Creates authority and citation value; strongest when the source, claim, and practical implication are obvious above the fold.","app/research/decoded/mamba/page.tsx"
